Feuchtigkeit	SHT21	DPS310
%	C	C
25.61	25.85	24.45
25.61	25.85	24.45
25.61	25.85	24.44
25.61	25.85	24.44
25.61	25.85	24.43
25.61	25.85	24.45
25.61	25.85	24.45
25.61	25.85	24.43
25.57	25.85	24.42
25.57	25.85	24.42
25.57	25.85	24.42
25.57	25.85	24.42
25.57	25.85	24.40
25.61	25.85	24.39
25.57	25.85	24.39
25.61	25.85	24.38
25.61	25.85	24.39
25.61	25.85	24.39
25.63	25.85	24.40
25.61	25.85	24.37
25.61	25.85	24.37
25.61	25.86	24.36
25.61	25.85	24.36
25.61	25.85	24.36
25.61	25.86	24.38
25.61	25.85	24.38
25.57	25.85	24.37
25.61	25.85	24.40
25.57	25.85	24.40
25.63	25.86	24.40
25.57	25.85	24.40
25.61	25.86	24.37
25.57	25.85	24.37
25.57	25.85	24.37
25.57	25.86	24.40
25.57	25.85	24.37
25.57	25.86	24.37
25.57	25.86	24.40
25.55	25.85	24.37
25.53	25.85	24.37
25.53	25.86	24.37
25.55	25.86	24.37
25.53	25.85	24.39
25.53	25.86	24.36
25.53	25.85	24.36
25.53	25.85	24.38
25.53	25.85	24.37
25.57	25.85	24.37
25.53	25.85	24.37
25.53	25.85	24.37
25.53	25.85	24.36
25.53	25.85	24.38
25.53	25.85	24.38
25.53	25.86	24.37
25.53	25.85	24.37
25.53	25.86	24.37
25.57	25.86	24.37
25.57	25.86	24.37
25.57	25.86	24.37
25.53	25.85	24.38
25.57	25.86	24.38
25.57	25.85	24.37
25.57	25.86	24.36
25.57	25.86	24.36
25.53	25.85	24.39
25.55	25.85	24.37
25.59	25.85	24.37
25.53	25.85	24.40
25.53	25.86	24.40
25.53	25.86	24.36
25.59	25.85	24.39
25.61	25.86	24.39
25.61	25.85	24.37
25.67	25.85	24.37
25.67	25.86	24.37
25.71	25.86	24.36
25.69	25.86	24.37
25.71	25.86	24.37
25.65	25.86	24.36
25.71	25.86	24.36
25.69	25.86	24.36
25.73	25.85	24.37
25.75	25.86	24.37
25.77	25.86	24.36
25.77	25.86	24.36
25.79	25.86	24.36
25.75	25.86	24.40
25.79	25.86	24.40
25.77	25.86	24.36
25.81	25.86	24.37
25.83	25.85	24.37
25.77	25.85	24.38
25.73	25.85	24.36
25.69	25.86	24.36
25.65	25.85	24.37
25.65	25.85	24.35
25.57	25.85	24.35
25.61	25.86	24.34
25.59	25.86	24.34
25.53	25.86	24.36
25.55	25.86	24.36
25.49	25.86	24.36
25.49	25.86	24.32
25.49	25.85	24.35
25.51	25.86	24.35
25.51	25.86	24.33
25.45	25.85	24.33
25.45	25.85	24.34
25.47	25.85	24.32
25.45	25.85	24.32
25.45	25.85	24.36
25.45	25.85	24.34
25.45	25.85	24.34
25.49	25.85	24.32
25.49	25.85	24.34
25.53	25.85	24.34
25.53	25.85	24.34
25.53	25.85	24.34
25.57	25.85	24.33
25.53	25.85	24.31
25.57	25.85	24.31
25.57	25.85	24.29
25.57	25.85	24.33
25.53	25.85	24.33
25.57	25.85	24.31
25.61	25.85	24.31
25.57	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.29
25.65	25.85	24.29
25.61	25.82	24.29
25.61	25.82	24.31
25.65	25.84	24.31
25.69	25.85	24.30
25.69	25.85	24.30
25.69	25.85	24.31
25.73	25.85	24.33
25.73	25.85	24.33
25.73	25.85	24.31
25.73	25.85	24.28
25.73	25.85	24.28
25.73	25.85	24.31
25.73	25.85	24.31
25.73	25.85	24.29
25.73	25.85	24.32
25.69	25.85	24.32
25.69	25.85	24.35
25.69	25.85	24.34
25.69	25.85	24.34
25.69	25.85	24.31
25.69	25.85	24.31
25.65	25.85	24.31
25.65	25.85	24.29
25.65	25.85	24.29
25.65	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.34
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.31
25.57	25.85	24.31
25.61	25.85	24.30
25.61	25.85	24.29
25.61	25.85	24.29
25.61	25.85	24.34
25.61	25.85	24.34
25.61	25.85	24.34
25.61	25.85	24.31
25.61	25.85	24.33
25.61	25.85	24.33
25.61	25.85	24.29
25.61	25.85	24.29
25.61	25.85	24.34
25.61	25.85	24.34
25.61	25.85	24.34
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.28
25.61	25.85	24.28
25.61	25.83	24.29
25.61	25.85	24.32
25.61	25.85	24.32
25.61	25.85	24.32
25.61	25.85	24.34
25.61	25.85	24.34
25.61	25.85	24.33
25.61	25.85	24.29
25.61	25.85	24.29
25.61	25.85	24.31
25.61	25.85	24.31
25.61	25.85	24.32
25.57	25.85	24.32
25.61	25.85	24.32
25.61	25.85	24.31
25.61	25.85	24.31
25.57	25.85	24.31
25.57	25.85	24.33
25.57	25.85	24.33
25.53	25.80	24.29
25.53	25.76	24.29
25.53	25.78	24.29
25.53	25.76	24.30
25.53	25.76	24.29
25.53	25.81	24.29
25.53	25.83	24.34
25.53	25.81	24.30
25.53	25.85	24.30
25.53	25.83	24.30
25.53	25.83	24.30
25.49	25.82	24.33
25.49	25.85	24.31
25.53	25.85	24.31
25.49	25.79	24.31
25.49	25.79	24.29
25.49	25.81	24.29
25.49	25.83	24.31
25.49	25.85	24.31
25.49	25.83	24.30
25.49	25.79	24.29
25.49	25.81	24.29
25.49	25.79	24.29
25.49	25.81	24.31
25.49	25.79	24.31
25.49	25.80	24.31
25.49	25.82	24.30
25.49	25.83	24.30
25.49	25.81	24.29
25.49	25.82	24.29
25.53	25.83	24.31
25.53	25.82	24.31
25.53	25.81	24.31
25.53	25.80	24.31
25.53	25.76	24.31
25.53	25.83	24.31
25.53	25.76	24.31
25.57	25.79	24.31
25.57	25.78	24.29
25.57	25.76	24.32
25.57	25.81	24.32
25.61	25.78	24.31
25.57	25.81	24.28
25.57	25.79	24.28
25.61	25.81	24.31
25.57	25.79	24.30
25.57	25.76	24.30
25.57	25.80	24.29
25.57	25.80	24.29
25.57	25.76	24.29
25.57	25.75	24.32
25.57	25.75	24.32
25.61	25.81	24.31
25.61	25.79	24.29
25.61	25.80	24.29
25.61	25.76	24.31
25.61	25.76	24.31
25.65	25.79	24.31
25.69	25.81	24.31
25.69	25.81	24.31
25.69	25.82	24.29
25.69	25.81	24.29
25.65	25.73	24.29
25.69	25.81	24.31
25.69	25.83	24.30
25.69	25.79	24.30
25.69	25.76	24.30
25.69	25.83	24.30
25.69	25.81	24.31
25.69	25.83	24.31
25.69	25.83	24.31
25.69	25.81	24.31
25.73	25.83	24.33
25.73	25.83	24.33
25.73	25.80	24.31
25.73	25.82	24.31
25.77	25.81	24.31
25.77	25.78	24.32
25.81	25.81	24.32
25.81	25.81	24.30
25.81	25.81	24.31
25.85	25.81	24.31
25.85	25.83	24.31
25.85	25.81	24.30
25.85	25.82	24.30
25.89	25.83	24.31
25.89	25.84	24.31
25.85	25.83	24.31
25.89	25.76	24.33
25.85	25.81	24.33
25.85	25.83	24.31
25.81	25.75	24.30
25.81	25.75	24.30
25.77	25.80	24.30
25.77	25.79	24.30
25.77	25.78	24.30
25.77	25.81	24.29
25.77	25.82	24.29
25.77	25.79	24.31
25.77	25.76	24.31
25.77	25.83	24.31
