Time	Altitude
m 	s
1	0
2	0.87
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.8
10	0.8
11	0.0
12	0.0
13	0.61
14	0.52
15	0.78
16	0.78
17	0.78
18	0.61
19	0.34
20	0.43
21	0.43
22	0.52
23	0.61
24	0.69
25	0.61
26	0.69
27	0.8
28	0.87
29	0.69
30	0.61
31	0.43
32	0.17
33	0.17
34	0.17
35	0.34
36	0.34
37	0.34
38	0.52
39	0.69
40	0.69
41	0.69
42	0.78
43	0.78
44	0.78
45	0.78
46	0.78
47	0.87
48	0.87
49	0.87
50	0.87
51	0.0
52	0.87
53	0.0
54	0.87
55	0.87
56	0.87
57	0.78
58	0.69
59	0.0
60	0.0
61	0.0
62	0.87
63	0.0
64	0.87
65	0.8
66	0.87
67	0.8
68	0.0
69	0.0
70	0.87
71	0.0
72	0.0
73	0.8
74	0.17
75	0.26
76	0.26
77	0.26
78	0.35
79	0.61
80	0.70
81	0.96
82	1.5
83	1.31
84	1.58
85	1.66
86	2.2
87	2.19
88	2.54
89	2.72
90	2.98
91	3.24
92	3.51
93	3.86
94	4.4
95	4.12
96	4.30
97	4.56
98	4.83
99	5.0
100	5.35
101	5.53
102	5.53
103	5.62
104	5.53
105	5.70
106	5.79
107	5.62
108	5.53
109	5.70
110	5.79
111	5.70
112	5.62
113	5.70
114	5.88
115	5.97
116	6.23
117	6.41
118	6.58
119	6.94
120	7.37
121	7.81
122	8.25
123	8.52
124	9.4
125	8.96
126	9.40
127	9.57
128	9.75
129	9.83
130	9.92
131	10.1
132	10.1
133	10.1
134	10.10
135	9.83
136	9.66
137	9.40
138	8.87
139	8.52
140	8.17
141	7.73
142	7.11
143	6.58
144	6.15
145	5.62
146	5.18
147	4.74
148	4.56
149	4.39
150	4.21
151	4.21
152	4.21
153	4.12
154	4.21
155	4.4
156	3.95
157	4.30
158	4.4
159	3.95
160	4.4
161	3.95
162	4.4
163	4.30
164	4.30
165	4.56
166	4.39
167	4.56
168	4.56
169	4.65
170	4.65
171	4.30
172	4.21
173	4.48
174	4.48
175	4.83
176	4.56
177	4.21
178	3.95
179	4.21
180	4.12
181	4.30
182	4.21
183	4.39
184	4.39
185	4.39
186	4.4
187	4.21
188	4.21
189	4.30
190	4.48
191	4.12
192	4.21
193	3.95
194	3.86
195	3.95
196	4.4
197	4.12
198	4.4
199	3.95
200	3.69
201	3.69
202	3.60
203	3.51
204	3.24
205	3.24
206	3.24
207	3.42
208	3.16
209	3.24
210	2.98
211	2.72
212	2.45
213	2.37
214	2.37
215	2.45
216	2.54
217	2.54
218	2.63
219	2.45
220	2.2
221	2.10
222	2.19
223	2.37
224	2.37
225	2.28
226	2.28
227	2.28
228	2.28
229	2.19
230	2.28
231	2.28
232	2.28
233	2.28
234	2.28
235	2.28
236	2.28
237	2.28
238	2.28
239	2.28
240	2.28
241	2.19
242	2.19
243	2.28
244	2.28
245	2.19
246	2.28
247	2.19
248	2.19
249	2.28
250	2.19
251	2.19
252	2.19
253	2.19
254	2.19
255	2.19
256	2.19
257	2.10
258	2.19
259	2.19
260	2.28
261	2.19
262	2.37
263	2.28
264	2.28
265	2.10
266	2.19
267	2.10
268	2.19
269	2.19
270	2.28
271	2.28
272	2.28
273	2.45
274	2.45
275	2.37
276	2.45
277	2.72
278	2.81
279	2.89
280	2.98
281	2.98
282	3.7
283	3.16
284	3.7
285	3.16
286	2.81
287	2.89
288	2.98
289	3.16
290	3.24
291	3.33
292	3.16
293	2.98
294	2.81
295	2.45
296	2.2
297	1.23
298	0.35
299	0.0
300	0.8
301	0.8
302	0.87
303	1.66
304	3.7
305	3.7
306	4.21
307	4.30
308	4.74
309	4.74
310	4.91
311	5.0
312	5.27
313	5.53
314	5.27
315	5.62
316	5.27
317	5.18
318	5.18
319	5.27
320	5.9
321	5.9
322	5.0
323	4.91
324	4.91
325	4.74
326	4.48
327	4.30
328	4.4
329	4.4
330	3.69
331	3.24
332	2.98
333	2.81
334	2.63
335	2.37
336	2.45
337	2.28
338	2.19
339	2.19
340	2.54
341	2.10
342	2.28
343	2.54
344	2.72
345	2.54
346	2.72
347	2.72
348	2.89
349	2.81
350	2.89
351	2.81
352	2.54
353	2.28
354	2.37
355	2.45
356	2.37
357	2.37
358	2.19
359	2.10
360	2.10
361	2.10
362	2.28
363	2.45
364	2.54
365	2.81
366	2.89
367	2.98
368	2.98
369	3.7
370	3.16
371	3.24
372	3.24
373	3.51
374	3.60
375	3.77
376	3.77
377	3.86
378	4.4
379	3.95
380	3.95
381	3.77
382	3.77
383	3.77
384	3.60
385	3.51
386	3.33
387	2.98
388	2.63
389	2.54
390	2.54
391	2.28
392	2.19
393	2.19
394	2.2
395	1.75
396	1.49
397	1.23
398	1.5
399	0.44
400	0.26
401	0.61
402	0.34
403	0.25
404	0.99
405	-1.73
406	-1.64
407	-1.55
408	-1.29
409	-1.11
410	-2.85
411	-2.67
412	-2.59
413	-2.32
414	-2.24
415	-3.88
416	-3.62
417	-3.62
418	-3.62
419	-3.71
420	-3.88
421	-3.88
422	-2.97
423	-2.6
424	-2.32
425	-2.6
426	-2.6
427	-3.80
428	-2.97
429	-3.80
430	-2.24
431	-2.59
432	-2.76
433	-1.20
434	-1.55
435	-1.82
436	0.99
437	0.8
438	0.17
439	0.34
440	0.34
441	0.52
442	0.52
443	0.52
444	0.34
445	0.52
446	0.26
447	0.96
448	1.31
449	1.40
450	1.75
451	2.10
452	2.10
453	2.2
454	1.84
455	2.19
456	2.37
457	2.37
458	2.37
459	2.45
460	2.45
461	2.72
462	2.89
463	2.98
464	3.16
465	3.33
466	3.33
467	3.24
468	3.42
469	3.60
470	3.69
471	3.95
472	4.12
473	4.21
474	4.65
475	4.83
476	5.9
477	5.27
478	5.44
479	5.70
480	5.97
481	6.32
482	6.67
483	6.76
484	6.76
485	7.2
486	7.37
487	7.64
488	7.73
489	8.17
490	8.25
491	8.69
492	8.61
493	9.4
494	9.22
495	9.22
496	9.40
497	9.40
498	9.40
499	9.57
500	9.31
501	8.96
502	8.43
503	7.81
504	7.46
505	7.20
506	6.85
507	6.58
508	6.6
509	5.62
510	5.44
511	5.27
512	5.9
513	5.9
514	4.91
515	4.74
516	4.39
517	4.4
518	3.77
519	3.51
520	3.51
521	3.42
522	3.86
523	3.77
524	3.77
525	4.4
526	4.21
527	4.30
528	4.30
529	4.48
530	4.74
531	5.9
532	5.18
533	5.27
534	5.27
535	5.44
536	5.44
537	5.62
538	5.27
539	5.18
540	5.53
541	5.62
542	5.79
543	5.88
544	5.97
545	5.88
546	6.23
547	6.23
548	6.41
549	6.41
550	6.49
551	6.58
552	6.67
553	6.49
554	7.20
555	7.29
556	8.17
557	8.34
558	8.25
559	8.69
560	9.4
561	10.45
562	9.92
563	10.19
564	10.63
565	10.63
566	10.98
567	11.68
568	11.50
569	11.59
570	11.59
571	11.68
572	11.50
573	12.21
574	11.95
575	12.3
576	12.3
577	11.86
578	11.77
579	11.68
580	11.77
581	11.95
582	11.77
583	11.59
584	11.33
585	11.15
586	10.98
587	11.7
588	11.50
589	10.89
590	11.15
591	11.42
592	11.50
593	11.33
594	11.50
595	11.42
596	11.50
597	11.24
598	11.33
599	11.50
600	11.50
601	11.59
602	11.50
603	12.12
604	12.82
605	12.30
606	12.47
607	12.47
608	12.38
609	12.21
610	11.86
611	12.21
612	12.65
613	13.35
614	12.82
615	14.14
616	13.26
617	13.70
618	13.97
619	14.5
620	14.32
621	14.32
622	14.41
623	14.41
624	14.14
625	14.14
626	14.50
627	14.50
628	14.93
629	14.67
630	14.76
631	14.85
632	14.93
633	15.11
634	14.93
635	14.93
636	15.37
637	14.93
638	14.93
639	15.20
640	14.93
641	15.29
642	14.93
643	15.20
644	15.11
645	15.20
646	15.2
647	15.2
648	15.2
649	15.11
650	15.11
651	15.11
652	15.55
653	15.37
654	15.37
655	15.64
656	15.81
657	15.90
658	16.17
659	16.25
660	16.43
661	16.60
662	16.60
663	16.87
664	16.87
665	16.96
666	17.5
667	16.87
668	16.87
669	16.96
670	17.5
671	16.87
672	16.87
673	16.87
674	16.60
675	16.69
676	17.5
677	16.43
678	16.69
679	16.69
680	16.96
681	16.96
682	17.22
683	17.48
684	17.5
685	17.13
686	16.87
687	17.5
688	17.5
689	17.5
690	16.87
691	16.43
692	16.34
693	16.34
694	16.17
695	16.17
696	16.17
697	15.73
698	15.73
699	15.11
700	15.11
701	14.93
702	14.93
703	15.2
704	15.20
705	15.11
706	15.20
707	15.29
708	15.29
709	15.55
710	15.46
711	15.64
712	15.64
713	15.64
714	15.81
715	16.34
716	16.69
717	16.96
718	17.13
719	17.40
720	17.48
721	17.66
722	17.75
723	17.84
724	18.1
725	18.19
726	18.45
727	18.89
728	19.24
729	19.77
730	20.21
731	20.65
732	21.0
733	21.53
734	22.6
735	22.94
736	23.64
737	24.52
738	25.76
739	26.64
740	27.78
741	29.10
742	30.33
743	31.57
744	32.71
745	34.3
746	35.0
747	36.41
748	37.64
749	38.44
750	40.3
751	41.44
752	42.49
753	43.90
754	45.14
755	46.2
756	47.26
757	48.93
758	49.99
759	51.5
760	52.20
761	53.35
762	54.40
763	55.64
764	56.79
765	57.58
766	58.64
767	58.99
768	59.61
769	59.97
770	60.58
771	61.38
772	61.73
773	62.53
774	63.41
775	63.94
776	64.56
777	65.35
778	66.24
779	67.48
780	68.45
781	69.60
782	71.10
783	72.42
784	74.2
785	74.90
786	76.14
787	77.11
788	78.0
789	78.79
790	79.85
791	80.92
792	82.16
793	83.4
794	84.10
795	85.17
796	86.32
797	87.47
798	88.89
799	89.33
800	90.66
801	91.28
802	91.54
803	91.99
804	92.78
805	93.58
806	94.55
807	95.71
808	96.77
809	97.92
810	98.90
811	100.14
812	100.58
813	101.47
814	102.18
815	102.53
816	102.98
817	103.33
818	104.22
819	105.10
820	105.64
821	106.35
822	107.95
823	108.39
824	109.19
825	110.34
826	111.41
827	112.74
828	114.69
829	115.4
830	116.38
831	117.0
832	117.53
833	119.4
834	121.44
835	121.62
836	123.31
837	124.55
838	125.79
839	127.13
840	128.46
841	129.97
842	131.31
843	132.55
844	134.42
845	134.69
846	135.84
847	136.29
848	136.82
849	137.53
850	138.51
851	138.42
852	138.87
853	139.22
854	138.96
855	139.76
856	140.29
857	141.1
858	141.72
859	142.61
860	143.59
861	143.85
862	144.48
863	145.19
864	145.63
865	146.43
866	147.24
867	147.77
868	147.86
869	148.31
870	148.57
871	148.75
872	149.29
873	149.82
874	150.36
875	150.89
876	151.69
877	152.31
878	153.3
879	153.83
880	154.81
881	155.88
882	156.86
883	157.93
884	159.0
885	160.7
886	161.5
887	162.21
888	163.91
889	163.64
890	164.35
891	164.89
892	165.51
893	165.87
894	166.41
895	166.76
896	167.30
897	167.65
898	168.28
899	168.90
900	168.90
901	169.26
902	169.89
903	170.60
904	171.49
905	172.38
906	173.37
907	174.35
908	175.33
909	176.40
910	177.48
911	178.46
912	179.62
913	180.69
914	181.76
915	182.66
916	183.46
917	184.0
918	184.53
919	184.98
920	185.52
921	186.32
922	186.95
923	187.75
924	188.56
925	189.36
926	189.81
927	190.35
928	191.42
929	192.5
930	192.76
931	193.21
932	193.66
933	193.74
934	193.92
935	193.83
936	193.66
937	193.57
938	193.30
939	193.3
940	192.58
941	192.49
942	191.96
943	191.51
944	191.24
945	190.97
946	191.24
947	191.51
948	192.14
949	192.23
950	192.58
951	192.85
952	193.12
953	193.48
954	193.66
955	193.92
956	194.19
957	194.28
958	194.37
959	194.64
960	195.27
961	195.45
962	195.80
963	197.15
964	196.61
965	196.88
966	196.88
967	196.70
968	196.43
969	196.16
970	195.54
971	194.91
972	194.46
973	194.1
974	193.12
975	192.67
976	192.14
977	191.6
978	190.8
979	189.27
980	188.38
981	187.58
982	186.68
983	185.88
984	185.25
985	184.71
986	184.18
987	183.73
988	183.1
989	182.48
990	181.85
991	181.32
992	180.78
993	179.89
994	179.8
995	178.55
996	178.37
997	178.10
998	177.92
999	177.48
1000	177.12
1001	176.76
1002	176.76
1003	176.76
1004	177.12
1005	177.30
1006	177.74
1007	178.10
1008	178.37
1009	178.73
1010	178.82
1011	178.82
1012	178.64
1013	178.28
1014	178.37
1015	178.1
1016	177.74
1017	177.56
1018	177.48
1019	177.65
1020	177.21
1021	176.94
1022	177.3
1023	176.85
1024	176.85
1025	177.12
1026	177.30
1027	177.48
1028	177.56
1029	177.74
1030	177.83
1031	178.10
1032	178.10
1033	178.1
1034	178.10
1035	178.10
1036	178.10
1037	178.1
1038	178.28
1039	178.1
1040	178.1
1041	178.1
1042	177.83
1043	177.83
1044	177.65
1045	177.65
1046	177.56
1047	177.56
1048	177.74
1049	178.19
1050	178.64
1051	179.17
1052	179.80
1053	180.78
1054	181.68
1055	182.75
1056	183.73
1057	184.80
1058	185.79
1059	186.77
1060	187.84
1061	188.91
1062	190.8
1063	191.42
1064	192.41
1065	193.30
1066	194.55
1067	195.27
1068	196.61
1069	197.59
1070	198.31
1071	199.20
1072	199.83
1073	200.73
1074	201.35
1075	201.0
1076	200.91
1077	200.82
1078	201.9
1079	200.91
1080	200.55
1081	200.46
1082	200.28
1083	200.1
1084	199.74
1085	199.74
1086	199.20
1087	199.20
1088	199.29
1089	199.65
1090	200.10
1091	201.18
1092	201.35
1093	201.71
1094	201.80
1095	202.34
